Date,pm2.5
2010/1/1,148
2010/1/2,107
2010/1/3,29
2010/1/4,27
2010/1/5,28
2010/1/6,42
2010/1/7,198
2010/1/8,40
2010/1/9,75
2010/1/10,27
2010/1/11,24
2010/1/12,26
2010/1/13,79
2010/1/14,26
2010/1/15,148
2010/1/16,170
2010/1/17,146
2010/1/18,301
2010/1/19,27
2010/1/20,25
2010/1/21,26
2010/1/22,15
2010/1/23,88
2010/1/24,143
2010/1/25,16
2010/1/26,12
2010/1/27,32
2010/1/28,11
2010/1/29,72
2010/1/30,27
2010/1/31,34
2010/2/1,31
2010/2/2,100
2010/2/3,93
2010/2/4,100
2010/2/5,169
2010/2/6,58
2010/2/7,14
2010/2/8,12
2010/2/9,19
2010/2/10,46
2010/2/11,15
2010/2/12,8
2010/2/13,24
2010/2/14,18
2010/2/15,34
2010/2/16,96
2010/2/17,184
2010/2/18,35
2010/2/19,60
2010/2/20,148
2010/2/21,311
2010/2/22,237
2010/2/23,81
2010/2/24,77
2010/2/25,20
2010/2/26,51
2010/2/27,63
2010/2/28,165
2010/3/1,220
2010/3/2,11
2010/3/3,39
2010/3/4,83
2010/3/5,26
2010/3/6,19
2010/3/7,48
2010/3/8,193
2010/3/9,14
2010/3/10,78
2010/3/11,68
2010/3/12,21
2010/3/13,53
2010/3/14,22
2010/3/15,179
2010/3/16,245
2010/3/17,156
2010/3/18,52
2010/3/19,204
2010/3/20,59
2010/3/21,36
2010/3/22,12
2010/3/23,50
2010/3/24,62
2010/3/25,96
2010/3/26,220
2010/3/27,17
2010/3/28,82
2010/3/29,92
2010/3/30,176
2010/3/31,15
2010/4/1,140
2010/4/2,127
2010/4/3,121
2010/4/4,19
2010/4/5,75
2010/4/6,88
2010/4/7,14
2010/4/8,57
2010/4/9,203
2010/4/10,286
2010/4/11,162
2010/4/12,207
2010/4/13,22
2010/4/14,83
2010/4/15,49
2010/4/16,42
2010/4/17,19
2010/4/18,114
2010/4/19,133
2010/4/20,18
2010/4/21,50
2010/4/22,14
2010/4/23,15
2010/4/24,19
2010/4/25,79
2010/4/26,59
2010/4/27,149
2010/4/28,135
2010/4/29,260
2010/4/30,20
2010/5/1,219
2010/5/2,163
2010/5/3,20
2010/5/4,63
2010/5/5,16
2010/5/6,44
2010/5/7,60
2010/5/8,147
2010/5/9,181
2010/5/10,137
2010/5/11,75
2010/5/12,53
2010/5/13,36
2010/5/14,51
2010/5/15,120
2010/5/16,174
2010/5/17,115
2010/5/18,24
2010/5/19,39
2010/5/20,80
2010/5/21,84
2010/5/22,127
2010/5/23,92
2010/5/24,41
2010/5/25,85
2010/5/26,110
2010/5/27,122
2010/5/28,151
2010/5/29,34
2010/5/30,85
2010/5/31,100
2010/6/1,147
2010/6/2,65
2010/6/3,148
2010/6/4,109
2010/6/5,19
2010/6/6,96
2010/6/7,74
2010/6/8,15
2010/6/9,85
2010/6/10,48
2010/6/11,96
2010/6/12,166
2010/6/13,160
2010/6/14,131
2010/6/15,152
2010/6/16,172
2010/6/17,156
2010/6/18,121
2010/6/19,23
2010/6/20,100
2010/6/21,77
2010/6/22,13
2010/6/23,2
2010/6/24,59
2010/6/25,31
2010/6/26,90
2010/6/27,100
2010/6/28,154
2010/6/29,100
2010/6/30,84
2010/7/1,161
2010/7/2,167
2010/7/3,283
2010/7/4,186
2010/7/5,149
2010/7/6,270
2010/7/7,34
2010/7/8,60
2010/7/9,206
2010/7/10,201
2010/7/11,88
2010/7/12,137
2010/7/13,249
2010/7/14,176
2010/7/15,181
2010/7/16,215
2010/7/17,219
2010/7/18,46
2010/7/19,47
2010/7/20,100
2010/7/21,163
2010/7/22,137
2010/7/23,13
2010/7/24,10
2010/7/25,106
2010/7/26,75
2010/7/27,207
2010/7/28,40
2010/7/29,181
2010/7/30,113
2010/7/31,167
2010/8/1,173
2010/8/2,246
2010/8/3,78
2010/8/4,63
2010/8/5,51
2010/8/6,11
2010/8/7,70
2010/8/8,202
2010/8/9,77
2010/8/10,42
2010/8/11,35
2010/8/12,24
2010/8/13,98
2010/8/14,54
2010/8/15,102
2010/8/16,52
2010/8/17,39
2010/8/18,52
2010/8/19,81
2010/8/20,125
2010/8/21,117
2010/8/22,56
2010/8/23,67
